uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	source_name	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	phase
A2M-D002545	0.368	4	A2M-D002545	A2M	D002545	Brain Ischemia	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	67	D054222	Cobblestone Lissencephaly	OTG	NA	Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021	NA	NA	0.512621990891347	0.82	1	Phase III	0.82	1	GWAS	NA	NA	3	neurology, cardiovascular	omim/tcga	unsupported target	III
A2M-D016491	0.198	4	A2M-D016491	A2M	D016491	Peripheral Vascular Diseases	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	67	D054222	Cobblestone Lissencephaly	OTG	NA	Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021	NA	NA	0.512621990891347	0.82	1	Phase III	0.82	1	GWAS	NA	NA	3	cardiovascular	both	unsupported target	III
A2M-D020521	0.381	4	A2M-D020521	A2M	D020521	Stroke	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	67	D054222	Cobblestone Lissencephaly	OTG	NA	Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021	NA	NA	0.512621990891347	0.82	1	Phase III	0.82	1	GWAS	NA	NA	3	neurology, cardiovascular	gwas	unsupported target	III
AAK1-D009437	0.235	3	AAK1-D009437	AAK1	D009437	Neuralgia	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	605	D006402	Hematologic Diseases	OTG	NA	Hemoglobin levels	https://genetics.opentargets.org/study/GCST90025969	2021	NA	NA	0.114700921240431	0.77	1	Phase II	0.77	1	GWAS	0.0202474	NA	1	neurology, signs/symptoms	both	unsupported target	II
AAK1-D051474	0.221	3	AAK1-D051474	AAK1	D051474	Neuralgia, Postherpetic	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	605	D006402	Hematologic Diseases	OTG	NA	Hemoglobin levels	https://genetics.opentargets.org/study/GCST90025969	2021	NA	NA	0.114700921240431	0.77	1	Phase II	0.77	1	GWAS	0.0202474	NA	1	neurology, signs/symptoms	gwas	unsupported target	II
ABAT-D000544	0.218	3	ABAT-D000544	ABAT	D000544	Alzheimer Disease	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	neurology, psychiatry	both	unsupported target	II
ABAT-D005879	0.355	3	ABAT-D005879	ABAT	D005879	Tourette Syndrome	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	neurology, congenital, psychiatry	omim/tcga	unsupported target	II
ABAT-D013036	0.213	5	ABAT-D013036	ABAT	D013036	Spasms, Infantile	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2019	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Launched	NA	NA	OMIM	NA	NA	3	neurology	both	unsupported target	Launched
ABCA1-D006949	1	2	ABCA1-D006949	ABCA1	D006949	Hyperlipidemias	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	1153	D006949	Hyperlipidemias	OTG	NA	Hyperlipidemia	https://genetics.opentargets.org/study/SAIGE_272_1	2018	NA	NA	0.122148781752203	0.81	1	Phase I	0.81	1	GWAS	NA	1.0744404344866745	1	metabolic	both	genetically supported target	I
ABCA1-D008060	0.774	3	ABCA1-D008060	ABCA1	D008060	Lipodystrophy	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	1249	D052439	Lipid Metabolism Disorders	OTG	NA	Disorders of lipoid metabolism	https://genetics.opentargets.org/study/SAIGE_272	2018	NA	NA	0.122148781752203	0.81	1	Phase II	0.81	1	GWAS	NA	1.0749777890313592	2	dermatology, metabolic	omim/tcga	unsupported target	II
ABCA1-D008103	0.681	4	ABCA1-D008103	ABCA1	D008103	Liver Cirrhosis	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	1176	D008107	Liver Diseases	OTG	NA	Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021	NA	NA	0.333181759126933	0.76	1	Phase III	0.76	1	GWAS	NA	NA	2	digestive, signs/symptoms	gwas	unsupported target	III
ABCA1-D042882	0.488	3	ABCA1-D042882	ABCA1	D042882	Gallstones	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	1176	D008107	Liver Diseases	OTG	NA	Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021	NA	NA	0.333181759126933	0.76	1	Phase II	0.76	1	GWAS	NA	NA	2	digestive, signs/symptoms	both	unsupported target	II
